# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
2.918419041904189992e+00 9.191591394188428077e-02 1.984568580983397279e+00 2.106477460686395631e+00
2.918119111911190888e+00 9.191020609618420767e-02 1.984552364252887724e+00 2.106463201318504730e+00
2.917819181918191340e+00 9.190449770539618757e-02 1.984536186780034406e+00 2.106448940919595003e+00
2.917519251925192236e+00 9.189878876929062634e-02 1.984520048534569092e+00 2.106434679488828010e+00
2.917219321932193132e+00 9.189307928763781885e-02 1.984503949486232433e+00 2.106420417025415048e+00
2.916919391939193584e+00 9.188736926020794893e-02 1.984487889604794830e+00 2.106406153528542546e+00
2.916619461946194480e+00 9.188165868677107551e-02 1.984471868860040455e+00 2.106391888997372064e+00
2.916319531953194932e+00 9.187594756709714650e-02 1.984455887221766801e+00 2.106377623431161084e+00
2.916019601960195828e+00 9.187023590095601266e-02 1.984439944659795341e+00 2.106363356829039191e+00
2.915719671967196280e+00 9.186452368811735825e-02 1.984424041143969308e+00 2.106349089190231894e+00
2.915419741974197176e+00 9.185881092835082584e-02 1.984408176644140376e+00 2.106334820513900752e+00
2.915119811981198072e+00 9.185309762142587764e-02 1.984392351130186860e+00 2.106320550799253510e+00
2.914819881988198524e+00 9.184738376711190644e-02 1.984376564572001289e+00 2.106306280045476598e+00
2.914519951995199420e+00 9.184166936517815238e-02 1.984360816939497507e+00 2.106292008251767101e+00
